Name	X	Y
F44	400	377
F221	395	291
R6D	280	179
R8A	386	320
F82	-166	-198
F181	-189	325
F198	395	341
F45	400	387
F63	354	-190
F183	374	-133
F122	-159	392
F224	332	399
F213	-186	375
F76	377	395
F34	-187	387
R2B	-40	-8
F133	389	331
F131	352	-193
F144	399	346
F158	-143	-195
F140	-180	357
F218	396	309
F87	-163	394
F33	-181	-200
F176	-191	-110
F147	331	400
F37	-197	386
F157	-194	-143
F4	-182	-187
F195	309	-196
F120	-191	363
F222	311	-187
F15	399	396
F74	-190	399
R1B	-120	-71
F204	372	-137
F116	-163	400
F109	-198	-142
F43	-195	375
F54	370	398
F193	-116	377
F108	-152	-199
F84	373	-195
F100	400	-157
R1C	-135	-80
F46	391	-185
F5	-196	398
F124	-144	-193
F197	-198	308
F21	384	400
F83	367	399
F85	-166	400
F123	396	344
F126	-190	345
F112	365	386
F119	-169	-194
F145	-126	-200
F159	-192	346
F202	-101	396
F71	-196	384
F173	-108	-199
F24	386	-196
F107	-153	395
F164	372	346
F36	371	-197
F48	-161	399
F97	373	-189
F117	-149	396
F16	391	-198
F219	-127	381
F169	392	-151
R5D	210	103
F105	352	-200
F138	390	-142
F12	-198	-185
F182	-187	-132
F57	-177	384
R3B	40	56
F52	-187	400
F75	-180	387
F14	374	395
F17	-186	394
F179	-139	-189
F99	384	395
R1D	-120	-89
F32	-189	398
F31	394	-194
R8B	380	344
F94	367	396
F223	272	399
R5A	223	120
F214	381	-109
F165	364	-183
F199	-114	383
R4A	140	70
F150	399	-151
F8	-200	394
R7A	339	260
F114	397	356
F167	390	-139
F49	400	-173
F2	-190	400
F89	356	394
F149	381	-145
F148	-127	-200
F153	-198	-133
R6C	269	190
F207	-145	396
F67	-160	398
F61	365	-195
F101	-195	-178
F26	-198	386
F81	396	-157
F78	-192	-173
F115	397	339
F135	-138	-186
F143	352	383
R7C	321	260
F3	-191	-179
F68	-195	-163
F160	-157	-185
F66	400	399
F206	-183	-133
F187	395	-139
F58	390	-182
F134	338	-198
F113	348	400
F70	395	-180
F23	374	396
R3A	54	40
R8C	374	320
F104	358	390
R3D	40	24
R4B	120	80
F151	-190	329
F191	373	328
F154	341	395
F29	394	384
F171	-180	326
F20	-172	-199
F51	-200	-150
F210	-197	338
F211	329	-198
F47	-177	-186
F55	-164	-190
R5B	210	137
F132	-196	-161
F172	327	398
F7	391	-186
F174	-187	328
F125	347	-189
F53	-168	399
F22	-182	-200
F79	-191	-197
F177	-177	345
F18	-200	-185
R4D	120	60
F73	396	-167
F40	394	386
R1A	-105	-80
F80	355	400
F93	-183	-160
F209	-121	-184
F72	-167	-195
F39	397	-174
F192	378	354
F163	352	-191
F111	-195	-172
F118	393	-172
R2A	-22	-20
F155	325	-196
F152	-138	-181
F205	-93	387
F127	390	-143
F189	-128	392
R7D	330	241
F212	396	-88
F142	-128	-194
F130	-194	-145
F9	389	-169
F136	-185	-151
F178	394	-155
F203	-194	-104
F13	-200	-182
F10	-188	-197
F216	-149	-187
F166	392	-160
F88	361	-197
F110	390	357
F30	389	-190
F128	390	363
F186	382	330
F170	392	350
F129	-188	354
F92	-151	389
F180	392	-131
R3C	26	40
F38	-194	390
F220	-192	-126
F28	-183	392
F156	-197	332
F185	-195	299
R6B	280	201
F103	-148	390
F141	396	342
R2D	-40	-32
F19	395	394
F102	-192	373
F190	-136	-194
F64	391	365
F161	386	331
F6	-190	395
F27	-185	-199
F162	335	389
F184	-197	-104
F188	325	-195
R2C	-58	-20
F201	-197	-137
F25	400	-198
F175	385	322
R4C	100	70
F217	382	307
F96	377	-200
F56	-159	-198
R6A	291	190
F121	337	-200
R7B	330	279
F59	400	376
F106	-128	-199
F11	395	400
F98	-198	355
F1	-196	-171
F139	-196	339
F77	-198	-140
F194	-195	310
F208	319	381
F200	-194	307
F35	397	379
F62	-177	-189
F196	392	-138
F168	-185	-119
F137	353	399
F60	-192	378
F215	-186	-116
F42	-189	-193
F41	-197	-181
F50	387	-191
F86	-165	383
R8D	380	296
R5C	197	120
F69	387	377
F95	372	-187
F90	346	-199
F91	358	-189
F146	-192	349
F65	376	-197
